"incident_id","datetime","language","title","problem_text","answer","keywords","match_mode","priority","status","start_at","end_at","created_by","notes"
"inc_20260618_113553_551848","2026-06-18 11:35:53","ru","Работы над ботом",".","Сейчас работаем над ботом, он временно не работает","бот, ошибка","contains","100","disabled","2026-06-18 11:35"," ","677539972"," "
"inc_20260618_122423_301401","2026-06-18 12:24:23","ru","test","test","TEST","test","all_keywords","100","active","2026-06-18 12:24"," ","677539972"," "
"inc_20260624_092723_135217","2026-06-24 09:27:23","ru","сбой soliq","Soliq проводит тех обслуживание своих серверов. Из-за этого мы не можем получить от них ответа","Soliq проводит тех обслуживание своих серверов. Из-за этого мы не можем получить от них ответа","soliq, ошибка, синхронизация","contains","100","active","2026-06-24 09:27"," ","677539972"," "
